Txn_ID,Date,Type,Category,Item_Description,Qty,Unit_Price,Total_Amount,Payment_Status,Remarks
,2025-10-30,,Livestock / Fixed Assets.,Purchase of In-Pig Gilt,2,350000,700000,Full,From Iya Eji Farms
,2025-10-30,,Rent / Property Costs,Pen Rentage,2,40000,80000,Full,Sent to Iya Eji and handed to Mrs. Fumilola
,2025-10-31,,Rent / Property Costs,Pen Rentage,1,40000,40000,Full,Sent to Mrs. Fumilola
,2025-10-31,,Utilities,Yearly Security,1,4500,4500,Full,Sent to Mrs. Fumilola
,2025-10-31,,Medication,Disinfectant,1,14500,14500,Full,Epiphany Vets
,2025-10-31,,Utilities,Broom,1,1000,1000,Full,First SleepWell
,2025-10-31,,Utilities,Bucket,1,1500,1500,Full,First SleepWell
,2025-10-31,,Utilities,Bailer,1,500,500,Full,First SleepWell
,2025-10-31,,Labor,Land Clearing,1,6000,6000,Full,Labors
,2025-11-01,,Utilities,Drum for Feed,1,52000,52000,Full,Sent to Mrs. Fumilola
,2025-11-01,,Labor,Pen Cleaning,1,6000,6000,Full,Sent to Mrs. Fumilola
,2025-11-03,,Utilities,Cement,0.5,10400,5200,Full,Purchase of Half Bag of Cement
,2025-11-03,,Labor,Bricklayer Payment,1,4000,4000,Full,Repair of Pen and Water Diversion by Briclayer
,2025-11-04,,Utilities,Padlock,1,5300,5300,Full,Sent to Mrs. Fumilola
,2025-11-04,,Utilities,Rain Boot,1,6500,6500,Full,Taiwo Farm Agro tech
,2025-11-04,,Utilities,Big Bowl,1,4500,4500,Full,Sent to Mrs. Fumilola
,2025-11-04,,Utilities,Small Bowl,1,1500,1500,Full,Sent to Mrs. Fumilola
,2025-11-04,,Utilities,Fetcher,1,2700,2700,Full,Fetcher and Rope 
,2025-11-04,,Labor,Feed Transportation,1,3000,3000,Full,Bike man to bring Feed From Town
,2025-11-04,,Labor,In-Pig Gilt Transportation,2,2500,5000,Full,TY Transport 
,2025-11-04,,Feed,PKC,2,12000,24000,Full,From Town
,2025-11-30,,Transport,Transportation To Farm,15,1550,24000,Full,Transport to Farm for November
,2025-11-24,,Feed,PKC,2,12700,25400,Full,"Restocking of Feed after 20days, i.e each Gilt ate 1 pags for 10 days"
,2025-12-01,,Medication,Ivanor Injection L.A 2% 1000ml (Invermectin),1,3050,3050,Full,Epiphany Vets
,2025-12-01,,Medication,Vitawright 100G,1,4550,4550,Full,Epiphany Vets
,2025-12-01,,Medication,Albion Amoxycol 100G,1,5550,5550,Full,Epiphany Vets
,2025-12-01,,Medication,Needle and Syinge 2mls,2,50,100,Full,Epiphany Vets
,2025-12-01,,Medication,Needle and Syinge 5mls,5,50,250,Full,Epiphany Vets
,2025-12-01,,Medication,Multinor Injection 100ml,1,1700,1700,Full,Epiphany Vets
,2025-12-01,,Medication,Albenor 2.5% 100ml (Albendazole),1,680,680,Full,Epiphany Vets
,2025-12-01,,Medication,Tetranor (Oxytet) 20% L.A 100ml,1,2550,2550,Full,Epiphany Vets
